"K00001","alcohol dehydrogenase [EC:1.1.1.1]"
"K00762","orotate phosphoribosyltransferase [EC:2.4.2.10]"
"K00763","nicotinate phosphoribosyltransferase [EC:6.3.4.21]"
"K00764","amidophosphoribosyltransferase [EC:2.4.2.14]"
"K00766","anthranilate phosphoribosyltransferase [EC:2.4.2.18]"
"K00788","thiamine-phosphate pyrophosphorylase [EC:2.5.1.3]"
"K00789","S-adenosylmethionine synthetase [EC:2.5.1.6]"
"K00790","UDP-N-acetylglucosamine 1-carboxyvinyltransferase [EC:2.5.1.7]"
"K00791","tRNA dimethylallyltransferase [EC:2.5.1.75]"
"K00796","dihydropteroate synthase [EC:2.5.1.15]"
"K00799","glutathione S-transferase [EC:2.5.1.18]"
"K00800","3-phosphoshikimate 1-carboxyvinyltransferase [EC:2.5.1.19]"
"K00806","undecaprenyl diphosphate synthase [EC:2.5.1.31]"
"K00817","histidinol-phosphate aminotransferase [EC:2.6.1.9]"
"K00820","glucosamine---fructose-6-phosphate aminotransferase (isomerizing) [EC:2.6.1.16]"
"K00826","branched-chain amino acid aminotransferase [EC:2.6.1.42]"
"K00845","glucokinase [EC:2.7.1.2]"
"K00847","fructokinase [EC:2.7.1.4]"
"K00849","galactokinase [EC:2.7.1.6]"
"K00850","6-phosphofructokinase 1 [EC:2.7.1.11]"
"K00857","thymidine kinase [EC:2.7.1.21]"
"K00858","NAD+ kinase [EC:2.7.1.23]"
"K00859","dephospho-CoA kinase [EC:2.7.1.24]"
"K00865","glycerate 2-kinase [EC:2.7.1.165]"
"K00867","type I pantothenate kinase [EC:2.7.1.33]"
"K00868","pyridoxine kinase [EC:2.7.1.35]"
"K00872","homoserine kinase [EC:2.7.1.39]"
"K00873","pyruvate kinase [EC:2.7.1.40]"
"K00876","uridine kinase [EC:2.7.1.48]"
"K00878","hydroxyethylthiazole kinase [EC:2.7.1.50]"
"K00882","1-phosphofructokinase [EC:2.7.1.56]"
"K00891","shikimate kinase [EC:2.7.1.71]"
"K00925","acetate kinase [EC:2.7.2.1]"
"K00927","phosphoglycerate kinase [EC:2.7.2.3]"
"K00928","aspartate kinase [EC:2.7.2.4]"
"K00931","glutamate 5-kinase [EC:2.7.2.11]"
"K00939","adenylate kinase [EC:2.7.4.3]"
"K00941","hydroxymethylpyrimidine/phosphomethylpyrimidine kinase [EC:2.7.1.49 2.7.4.7]"
"K00942","guanylate kinase [EC:2.7.4.8]"
"K00943","dTMP kinase [EC:2.7.4.9]"
"K00945","CMP/dCMP kinase [EC:2.7.4.25]"
"K00948","ribose-phosphate pyrophosphokinase [EC:2.7.6.1]"
"K00949","thiamine pyrophosphokinase [EC:2.7.6.2]"
"K00950","2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase [EC:2.7.6.3]"
"K00951","GTP pyrophosphokinase [EC:2.7.6.5]"
"K00954","pantetheine-phosphate adenylyltransferase [EC:2.7.7.3]"
"K00963","UTP--glucose-1-phosphate uridylyltransferase [EC:2.7.7.9]"
"K00965","UDPglucose--hexose-1-phosphate uridylyltransferase [EC:2.7.7.12]"
"K00969","nicotinate-nucleotide adenylyltransferase [EC:2.7.7.18]"
"K00973","glucose-1-phosphate thymidylyltransferase [EC:2.7.7.24]"
"K00975","glucose-1-phosphate adenylyltransferase [EC:2.7.7.27]"
"K00981","phosphatidate cytidylyltransferase [EC:2.7.7.41]"
"K00983","N-acylneuraminate cytidylyltransferase [EC:2.7.7.43]"
"K00995","CDP-diacylglycerol---glycerol-3-phosphate 3-phosphatidyltransferase [EC:2.7.8.5]"
"K00997","holo-[acyl-carrier protein] synthase [EC:2.7.8.7]"
"K01000","phospho-N-acetylmuramoyl-pentapeptide-transferase [EC:2.7.8.13]"
"K01069","hydroxyacylglutathione hydrolase [EC:3.1.2.6]"
"K01079","phosphoserine phosphatase [EC:3.1.3.3]"
"K01081","5-nucleotidase [EC:3.1.3.5]"
"K01091","phosphoglycolate phosphatase [EC:3.1.3.18]"
"K01092","myo-inositol-1(or 4)-monophosphatase [EC:3.1.3.25]"
"K01119","2,3-cyclic-nucleotide 2-phosphodiesterase / 3-nucleotidase [EC:3.1.4.16 3.1.3.6]"
"K01126","glycerophosphoryl diester phosphodiesterase [EC:3.1.4.46]"
"K01176","alpha-amylase [EC:3.2.1.1]"
"K01186","sialidase-1 [EC:3.2.1.18]"
"K01187","alpha-glucosidase [EC:3.2.1.20]"
"K01190","beta-galactosidase [EC:3.2.1.23]"
"K01193","beta-fructofuranosidase [EC:3.2.1.26]"
"K01200","pullulanase [EC:3.2.1.41]"
"K01223","6-phospho-beta-glucosidase [EC:3.2.1.86]"
"K01243","adenosylhomocysteine nucleosidase [EC:3.2.2.9]"
"K01256","aminopeptidase N [EC:3.4.11.2]"
"K01270","dipeptidase D [EC:3.4.13.-]"
"K01358","ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]"
"K01424","L-asparaginase [EC:3.5.1.1]"
"K01439","succinyl-diaminopimelate desuccinylase [EC:3.5.1.18]"
"K01443","N-acetylglucosamine-6-phosphate deacetylase [EC:3.5.1.25]"
"K01448","N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]"
"K01465","dihydroorotase [EC:3.5.2.3]"
"K01489","cytidine deaminase [EC:3.5.4.5]"
"K01491","methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase [EC:1.5.1.5 3.5.4.9]"
"K01493","dCMP deaminase [EC:3.5.4.12]"
"K01495","GTP cyclohydrolase IA [EC:3.5.4.16]"
"K01515","ADP-ribose pyrophosphatase [EC:3.6.1.13]"
"K01520","dUTP pyrophosphatase [EC:3.6.1.23]"
"K01524","exopolyphosphatase / guanosine-5-triphosphate,3-diphosphate pyrophosphatase [EC:3.6.1.11 3.6.1.40]"
"K01586","diaminopimelate decarboxylase [EC:4.1.1.20]"
"K01588","5-(carboxyamino)imidazole ribonucleotide mutase [EC:5.4.99.18]"
"K01589","5-(carboxyamino)imidazole ribonucleotide synthase [EC:6.3.4.18]"
"K01591","orotidine-5-phosphate decarboxylase [EC:4.1.1.23]"
"K01595","phosphoenolpyruvate carboxylase [EC:4.1.1.31]"
"K01599","uroporphyrinogen decarboxylase [EC:4.1.1.37]"
"K01619","deoxyribose-phosphate aldolase [EC:4.1.2.4]"
"K01624","fructose-bisphosphate aldolase, class II [EC:4.1.2.13]"
"K01626","3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54]"
"K01635","tagatose 1,6-diphosphate aldolase [EC:4.1.2.40]"
"K01639","N-acetylneuraminate lyase [EC:4.1.3.3]"
"K01649","2-isopropylmalate synthase [EC:2.3.3.13]"
"K01652","acetolactate synthase I/II/III large subunit [EC:2.2.1.6]"
"K01653","acetolactate synthase I/III small subunit [EC:2.2.1.6]"
"K01657","anthranilate synthase component I [EC:4.1.3.27]"
"K01658","anthranilate synthase component II [EC:4.1.3.27]"
"K01673","carbonic anhydrase [EC:4.2.1.1]"
"K01687","dihydroxy-acid dehydratase [EC:4.2.1.9]"
"K01689","enolase [EC:4.2.1.11]"
"K01695","tryptophan synthase alpha chain [EC:4.2.1.20]"
"K01696","tryptophan synthase beta chain [EC:4.2.1.20]"
"K01703","3-isopropylmalate/(R)-2-methylmalate dehydratase large subunit [EC:4.2.1.33 4.2.1.35]"
"K01704","3-isopropylmalate/(R)-2-methylmalate dehydratase small subunit [EC:4.2.1.33 4.2.1.35]"
"K01710","dTDP-glucose 4,6-dehydratase [EC:4.2.1.46]"
"K01714","4-hydroxy-tetrahydrodipicolinate synthase [EC:4.3.3.7]"
"K01733","threonine synthase [EC:4.2.3.1]"
"K01735","3-dehydroquinate synthase [EC:4.2.3.4]"
"K01736","chorismate synthase [EC:4.2.3.5]"
"K01738","cysteine synthase A [EC:2.5.1.47]"
"K01739","cystathionine gamma-synthase [EC:2.5.1.48]"
"K01740","O-acetylhomoserine (thiol)-lyase [EC:2.5.1.49]"
"K01752","L-serine dehydratase [EC:4.3.1.17]"
"K01754","threonine dehydratase [EC:4.3.1.19]"
"K01755","argininosuccinate lyase [EC:4.3.2.1]"
"K01756","adenylosuccinate lyase [EC:4.3.2.2]"
"K01759","lactoylglutathione lyase [EC:4.4.1.5]"
"K01772","protoporphyrin/coproporphyrin ferrochelatase [EC:4.99.1.1 4.99.1.9]"
"K01775","alanine racemase [EC:5.1.1.1]"
"K01776","glutamate racemase [EC:5.1.1.3]"
"K01783","ribulose-phosphate 3-epimerase [EC:5.1.3.1]"
"K01784","UDP-glucose 4-epimerase [EC:5.1.3.2]"
"K01785","aldose 1-epimerase [EC:5.1.3.3]"
"K01788","N-acylglucosamine-6-phosphate 2-epimerase [EC:5.1.3.9]"
"K01790","dTDP-4-dehydrorhamnose 3,5-epimerase [EC:5.1.3.13]"
"K01803","triosephosphate isomerase (TIM) [EC:5.3.1.1]"
"K01807","ribose 5-phosphate isomerase A [EC:5.3.1.6]"
"K01809","mannose-6-phosphate isomerase [EC:5.3.1.8]"
"K01810","glucose-6-phosphate isomerase [EC:5.3.1.9]"
"K01817","phosphoribosylanthranilate isomerase [EC:5.3.1.24]"
"K01819","galactose-6-phosphate isomerase [EC:5.3.1.26]"
"K01834","2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]"
"K01835","phosphoglucomutase [EC:5.4.2.2]"
"K01838","beta-phosphoglucomutase [EC:5.4.2.6]"
"K01866","tyrosyl-tRNA synthetase [EC:6.1.1.1]"
"K01867","tryptophanyl-tRNA synthetase [EC:6.1.1.2]"
"K01868","threonyl-tRNA synthetase [EC:6.1.1.3]"
"K01869","leucyl-tRNA synthetase [EC:6.1.1.4]"
"K01870","isoleucyl-tRNA synthetase [EC:6.1.1.5]"
"K01872","alanyl-tRNA synthetase [EC:6.1.1.7]"
"K01873","valyl-tRNA synthetase [EC:6.1.1.9]"
"K01874","methionyl-tRNA synthetase [EC:6.1.1.10]"
"K01875","seryl-tRNA synthetase [EC:6.1.1.11]"
"K01876","aspartyl-tRNA synthetase [EC:6.1.1.12]"
"K01878","glycyl-tRNA synthetase alpha chain [EC:6.1.1.14]"
"K01879","glycyl-tRNA synthetase beta chain [EC:6.1.1.14]"
"K01881","prolyl-tRNA synthetase [EC:6.1.1.15]"
"K01883","cysteinyl-tRNA synthetase [EC:6.1.1.16]"
"K01887","arginyl-tRNA synthetase [EC:6.1.1.19]"
"K01889","phenylalanyl-tRNA synthetase alpha chain [EC:6.1.1.20]"
"K01890","phenylalanyl-tRNA synthetase beta chain [EC:6.1.1.20]"
"K01892","histidyl-tRNA synthetase [EC:6.1.1.21]"
"K01893","asparaginyl-tRNA synthetase [EC:6.1.1.22]"
"K01897","long-chain acyl-CoA synthetase [EC:6.2.1.3]"
"K01914","aspartate--ammonia ligase [EC:6.3.1.1]"
"K01915","glutamine synthetase [EC:6.3.1.2]"
"K01916","NAD+ synthase [EC:6.3.1.5]"
"K01919","glutamate--cysteine ligase [EC:6.3.2.2]"
"K01921","D-alanine-D-alanine ligase [EC:6.3.2.4]"
"K01923","phosphoribosylaminoimidazole-succinocarboxamide synthase [EC:6.3.2.6]"
"K01924","UDP-N-acetylmuramate--alanine ligase [EC:6.3.2.8]"
"K01925","UDP-N-acetylmuramoylalanine--D-glutamate ligase [EC:6.3.2.9]"
"K01928","UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase [EC:6.3.2.13]"
"K01929","UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase [EC:6.3.2.10]"
"K01933","phosphoribosylformylglycinamidine cyclo-ligase [EC:6.3.3.1]"
"K01934","5-formyltetrahydrofolate cyclo-ligase [EC:6.3.3.2]"
"K01937","CTP synthase [EC:6.3.4.2]"
"K01938","formate--tetrahydrofolate ligase [EC:6.3.4.3]"
"K01939","adenylosuccinate synthase [EC:6.3.4.4]"
"K01940","argininosuccinate synthase [EC:6.3.4.5]"
"K01945","phosphoribosylamine---glycine ligase [EC:6.3.4.13]"
"K01951","GMP synthase (glutamine-hydrolysing) [EC:6.3.5.2]"
"K01952","phosphoribosylformylglycinamidine synthase [EC:6.3.5.3]"
"K01955","carbamoyl-phosphate synthase large subunit [EC:6.3.5.5]"
"K01956","carbamoyl-phosphate synthase small subunit [EC:6.3.5.5]"
"K01961","acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14]"
"K01962","acetyl-CoA carboxylase carboxyl transferase subunit alpha [EC:6.4.1.2 2.1.3.15]"
"K01963","acetyl-CoA carboxylase carboxyl transferase subunit beta [EC:6.4.1.2 2.1.3.15]"
"K01995","branched-chain amino acid transport system ATP-binding protein"
"K01999","branched-chain amino acid transport system substrate-binding protein"
"K02010","iron(III) transport system ATP-binding protein [EC:3.6.3.30]"
"K02011","iron(III) transport system permease protein"
"K02012","iron(III) transport system substrate-binding protein"
"K02031","peptide/nickel transport system ATP-binding protein"
"K02032","peptide/nickel transport system ATP-binding protein"
"K02033","peptide/nickel transport system permease protein"
"K02034","peptide/nickel transport system permease protein"
"K02035","peptide/nickel transport system substrate-binding protein"
"K02036","phosphate transport system ATP-binding protein [EC:3.6.3.27]"
"K02071","D-methionine transport system ATP-binding protein"
"K02072","D-methionine transport system permease protein"
"K02073","D-methionine transport system substrate-binding protein"
"K02078","acyl carrier protein"
"K02108","F-type H+-transporting ATPase subunit a"
"K02109","F-type H+-transporting ATPase subunit b"
"K02110","F-type H+-transporting ATPase subunit c"
"K02111","F-type H+-transporting ATPase subunit alpha [EC:3.6.3.14]"
"K02112","F-type H+-transporting ATPase subunit beta [EC:3.6.3.14]"
"K02113","F-type H+-transporting ATPase subunit delta"
"K02114","F-type H+-transporting ATPase subunit epsilon"
"K02115","F-type H+-transporting ATPase subunit gamma"
"K02160","acetyl-CoA carboxylase biotin carboxyl carrier protein"
"K02171","BlaI family transcriptional regulator, penicillinase repressor"
"K02226","alpha-ribazole phosphatase [EC:3.1.3.73]"
"K02313","chromosomal replication initiator protein"
"K02358","elongation factor Tu"
"K02371","enoyl-[acyl-carrier protein] reductase II [EC:1.3.1.9]"
"K02372","3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:4.2.1.59]"
"K02433","aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit A [EC:6.3.5.6 6.3.5.7]"
"K02434","aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit B [EC:6.3.5.6 6.3.5.7]"
"K02435","aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit C [EC:6.3.5.6 6.3.5.7]"
"K02495","oxygen-independent coproporphyrinogen III oxidase [EC:1.3.98.3]"
"K02517","Kdo2-lipid IVA lauroyltransferase [EC:2.3.1.241]"
"K02527","3-deoxy-D-manno-octulosonic-acid transferase [EC:2.4.99.12 2.4.99.13 2.4.99.14 2.4.99.15]"
"K02563","UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase [EC:2.4.1.227]"
"K02564","glucosamine-6-phosphate deaminase [EC:3.5.99.6]"
"K02768","PTS system, fructose-specific IIA component [EC:2.7.1.202]"
"K02769","PTS system, fructose-specific IIB component [EC:2.7.1.202]"
"K02770","PTS system, fructose-specific IIC component"
"K02777","PTS system, sugar-specific IIA component [EC:2.7.1.-]"
"K02793","PTS system, mannose-specific IIA component [EC:2.7.1.191]"
"K02794","PTS system, mannose-specific IIB component [EC:2.7.1.191]"
"K02795","PTS system, mannose-specific IIC component"
"K02796","PTS system, mannose-specific IID component"
"K02810","PTS system, sucrose-specific IIC component"
"K02823","dihydroorotate dehydrogenase electron transfer subunit"
"K02825","pyrimidine operon attenuation protein / uracil phosphoribosyltransferase [EC:2.4.2.9]"
"K02843","heptosyltransferase II [EC:2.4.-.-]"
"K03070","preprotein translocase subunit SecA"
"K03073","preprotein translocase subunit SecE"
"K03075","preprotein translocase subunit SecG"
"K03076","preprotein translocase subunit SecY"
"K03106","signal recognition particle subunit SRP54 [EC:3.6.5.4]"
"K03110","fused signal recognition particle receptor"
"K03118","sec-independent protein translocase protein TatC"
"K03151","tRNA uracil 4-sulfurtransferase [EC:2.8.1.4]"
"K03205","type IV secretion system protein VirD4"
"K03210","preprotein translocase subunit YajC"
"K03217","YidC/Oxa1 family membrane protein insertase"
"K03271","D-sedoheptulose 7-phosphate isomerase [EC:5.3.1.28]"
"K03431","phosphoglucosamine mutase [EC:5.4.2.10]"
"K03523","biotin transport system substrate-specific component"
"K03524","BirA family transcriptional regulator, biotin operon repressor / biotin---[acetyl-CoA-carboxylase] ligase [EC:6.3.4.15]"
"K03585","membrane fusion protein, multidrug efflux system"
"K03596","GTP-binding protein LepA"
"K03606","putative colanic acid biosysnthesis UDP-glucose lipid carrier transferase"
"K03621","glycerol-3-phosphate acyltransferase PlsX [EC:2.3.1.15]"
"K03671","thioredoxin 1"
"K03685","ribonuclease III [EC:3.1.26.3]"
"K03707","thiaminase (transcriptional activator TenA) [EC:3.5.99.2]"
"K03739","membrane protein involved in D-alanine export"
"K03740","D-alanine transfer protein"
"K03742","nicotinamide-nucleotide amidase [EC:3.5.1.42]"
"K03783","purine-nucleoside phosphorylase [EC:2.4.2.1]"
"K03784","purine-nucleoside phosphorylase [EC:2.4.2.1]"
"K03785","3-dehydroquinate dehydratase I [EC:4.2.1.10]"
"K03800","lipoate---protein ligase [EC:6.3.1.20]"
"K03816","xanthine phosphoribosyltransferase [EC:2.4.2.22]"
"K03823","phosphinothricin acetyltransferase [EC:2.3.1.183]"
"K04042","bifunctional UDP-N-acetylglucosamine pyrophosphorylase / Glucosamine-1-phosphate N-acetyltransferase [EC:2.7.7.23 2.3.1.157]"
"K04043","molecular chaperone DnaK"
"K04072","acetaldehyde dehydrogenase / alcohol dehydrogenase [EC:1.2.1.10 1.1.1.1]"
"K04077","chaperonin GroEL"
"K04487","cysteine desulfurase [EC:2.8.1.7]"
"K04517","prephenate dehydrogenase [EC:1.3.1.12]"
"K04564","superoxide dismutase, Fe-Mn family [EC:1.15.1.1]"
"K04567","lysyl-tRNA synthetase, class II [EC:6.1.1.6]"
"K04761","LysR family transcriptional regulator, hydrogen peroxide-inducible genes activator"
"K04771","serine protease Do [EC:3.4.21.107]"
"K05366","penicillin-binding protein 1A [EC:2.4.1.129 3.4.16.4]"
"K05823","N-acetyldiaminopimelate deacetylase [EC:3.5.1.47]"
"K05845","osmoprotectant transport system substrate-binding protein"
"K05846","osmoprotectant transport system permease protein"
"K05847","osmoprotectant transport system ATP-binding protein"
"K06131","cardiolipin synthase A/B [EC:2.7.8.-]"
"K06153","undecaprenyl-diphosphatase [EC:3.6.1.27]"
"K06211","HTH-type transcriptional regulator, transcriptional repressor of NAD biosynthesis genes [EC:2.7.7.1 2.7.1.22]"
"K06881","bifunctional oligoribonuclease and PAP phosphatase NrnA [EC:3.1.3.7 3.1.13.3]"
"K06896","maltose 6-phosphate phosphatase [EC:3.1.3.90]"
"K06920","7-cyano-7-deazaguanine synthase [EC:6.3.4.20]"
"K06949","ribosome biogenesis GTPase / thiamine phosphate phosphatase [EC:3.6.1.- 3.1.3.100]"
"K07007","uncharacterized protein"
"K07029","diacylglycerol kinase (ATP) [EC:2.7.1.107]"
"K07173","S-ribosylhomocysteine lyase [EC:4.4.1.21]"
"K07258","serine-type D-Ala-D-Ala carboxypeptidase (penicillin-binding protein 5/6) [EC:3.4.16.4]"
"K07260","zinc D-Ala-D-Ala carboxypeptidase [EC:3.4.17.14]"
"K07271","lipopolysaccharide cholinephosphotransferase [EC:2.7.8.-]"
"K07335","basic membrane protein A and related proteins"
"K07636","two-component system, OmpR family, phosphate regulon sensor histidine kinase PhoR [EC:2.7.13.3]"
"K07652","two-component system, OmpR family, sensor histidine kinase VicK [EC:2.7.13.3]"
"K07658","two-component system, OmpR family, alkaline phosphatase synthesis response regulator PhoP"
"K07665","two-component system, OmpR family, copper resistance phosphate regulon response regulator CusR"
"K07668","two-component system, OmpR family, response regulator VicR"
"K07669","two-component system, OmpR family, response regulator MprA"
"K07693","two-component system, NarL family, response regulator DesR"
"K07707","two-component system, LytTR family, response regulator AgrA"
"K07718","two-component system, sensor histidine kinase YesM [EC:2.7.13.3]"
"K07720","two-component system, response regulator YesN"
"K07776","two-component system, OmpR family, response regulator RegX3"
"K07778","two-component system, NarL family, sensor histidine kinase DesK [EC:2.7.13.3]"
"K07816","putative GTP pyrophosphokinase [EC:2.7.6.5]"
"K08303","putative protease [EC:3.4.-.-]"
"K08483","phosphotransferase system, enzyme I, PtsI [EC:2.7.3.9]"
"K08591","glycerol-3-phosphate acyltransferase PlsY [EC:2.3.1.15]"
"K09458","3-oxoacyl-[acyl-carrier-protein] synthase II [EC:2.3.1.179]"
"K09698","nondiscriminating glutamyl-tRNA synthetase [EC:6.1.1.24]"
"K09808","lipoprotein-releasing system permease protein"
"K09809","CDP-glycerol glycerophosphotransferase [EC:2.7.8.12]"
"K09811","cell division transport system permease protein"
"K09812","cell division transport system ATP-binding protein"
"K09815","zinc transport system substrate-binding protein"
"K09816","zinc transport system permease protein"
"K09817","zinc transport system ATP-binding protein [EC:3.6.3.-]"
"K09903","uridylate kinase [EC:2.7.4.22]"
"K10040","putative glutamine transport system permease protein"
"K10112","multiple sugar transport system ATP-binding protein"
"K10823","oligopeptide transport system ATP-binding protein"
"K10829","iron-chelate-transporting ATPase [EC:3.6.3.34]"
"K11069","spermidine/putrescine transport system substrate-binding protein"
"K11070","spermidine/putrescine transport system permease protein"
"K11071","spermidine/putrescine transport system permease protein"
"K11072","spermidine/putrescine transport system ATP-binding protein [EC:3.6.3.31]"
"K11085","ATP-binding cassette, subfamily B, bacterial MsbA [EC:3.6.3.-]"
"K11175","phosphoribosylglycinamide formyltransferase 1 [EC:2.1.2.2]"
"K11618","two-component system, NarL family, response regulator LiaR"
"K11717","cysteine desulfurase / selenocysteine lyase [EC:2.8.1.7 4.4.1.16]"
"K11751","5-nucleotidase / UDP-sugar diphosphatase [EC:3.1.3.5 3.6.1.45]"
"K11753","riboflavin kinase / FMN adenylyltransferase [EC:2.7.1.26 2.7.7.2]"
"K11754","dihydrofolate synthase / folylpolyglutamate synthase [EC:6.3.2.12 6.3.2.17]"
"K11904","type VI secretion system secreted protein VgrG"
"K12373","hexosaminidase [EC:3.2.1.52]"
"K12410","NAD-dependent deacetylase [EC:3.5.1.-]"
"K12983","UDP-glucose:(glucosyl)LPS beta-1,3-glucosyltransferase [EC:2.4.1.-]"
"K13010","perosamine synthetase [EC:2.6.1.102]"
"K13038","phosphopantothenoylcysteine decarboxylase / phosphopantothenate---cysteine ligase [EC:4.1.1.36 6.3.2.5]"
"K13789","geranylgeranyl diphosphate synthase, type II [EC:2.5.1.1 2.5.1.10 2.5.1.29]"
