"K00001","alcohol dehydrogenase [EC:1.1.1.1]"
"K02495","oxygen-independent coproporphyrinogen III oxidase [EC:1.3.98.3]"
"K02517","Kdo2-lipid IVA lauroyltransferase [EC:2.3.1.241]"
"K02527","3-deoxy-D-manno-octulosonic-acid transferase [EC:2.4.99.12 2.4.99.13 2.4.99.14 2.4.99.15]"
"K02536","UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase [EC:2.3.1.191]"
"K02548","1,4-dihydroxy-2-naphthoate octaprenyltransferase [EC:2.5.1.74 2.5.1.-]"
"K02551","2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase [EC:2.2.1.9]"
"K02557","chemotaxis protein MotB"
"K02563","UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase [EC:2.4.1.227]"
"K02564","glucosamine-6-phosphate deaminase [EC:3.5.99.6]"
"K02757","PTS system, beta-glucoside-specific IIC component"
"K02768","PTS system, fructose-specific IIA component [EC:2.7.1.202]"
"K02769","PTS system, fructose-specific IIB component [EC:2.7.1.202]"
"K02770","PTS system, fructose-specific IIC component"
"K02793","PTS system, mannose-specific IIA component [EC:2.7.1.191]"
"K02794","PTS system, mannose-specific IIB component [EC:2.7.1.191]"
"K02810","PTS system, sucrose-specific IIC component"
"K02841","heptosyltransferase I [EC:2.4.-.-]"
"K02843","heptosyltransferase II [EC:2.4.-.-]"
"K02851","UDP-GlcNAc:undecaprenyl-phosphate/decaprenyl-phosphate GlcNAc-1-phosphate transferase [EC:2.7.8.33 2.7.8.35]"
"K03070","preprotein translocase subunit SecA"
"K03073","preprotein translocase subunit SecE"
"K03075","preprotein translocase subunit SecG"
"K03076","preprotein translocase subunit SecY"
"K03106","signal recognition particle subunit SRP54 [EC:3.6.5.4]"
"K03110","fused signal recognition particle receptor"
"K03183","demethylmenaquinone methyltransferase / 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase [EC:2.1.1.163 2.1.1.201]"
"K03210","preprotein translocase subunit YajC"
"K03217","YidC/Oxa1 family membrane protein insertase"
"K03270","3-deoxy-D-manno-octulosonate 8-phosphate phosphatase (KDO 8-P phosphatase) [EC:3.1.3.45]"
"K03271","D-sedoheptulose 7-phosphate isomerase [EC:5.3.1.28]"
"K03386","peroxiredoxin (alkyl hydroperoxide reductase subunit C) [EC:1.11.1.15]"
"K03406","methyl-accepting chemotaxis protein"
"K03431","phosphoglucosamine mutase [EC:5.4.2.10]"
"K03523","biotin transport system substrate-specific component"
"K03524","BirA family transcriptional regulator, biotin operon repressor / biotin---[acetyl-CoA-carboxylase] ligase [EC:6.3.4.15]"
"K03526","(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase [EC:1.17.7.1 1.17.7.3]"
"K03527","4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase [EC:1.17.7.4]"
"K03585","membrane fusion protein, multidrug efflux system"
"K03587","cell division protein FtsI (penicillin-binding protein 3) [EC:3.4.16.4]"
"K03596","GTP-binding protein LepA"
"K03606","putative colanic acid biosysnthesis UDP-glucose lipid carrier transferase"
"K03637","cyclic pyranopterin monophosphate synthase [EC:4.6.1.17]"
"K03639","GTP 3,8-cyclase [EC:4.1.99.22]"
"K03671","thioredoxin 1"
"K03685","ribonuclease III [EC:3.1.26.3]"
"K03742","nicotinamide-nucleotide amidase [EC:3.5.1.42]"
"K03750","molybdopterin molybdotransferase [EC:2.10.1.1]"
"K03783","purine-nucleoside phosphorylase [EC:2.4.2.1]"
"K03786","3-dehydroquinate dehydratase II [EC:4.2.1.10]"
"K03823","phosphinothricin acetyltransferase [EC:2.3.1.183]"
"K04042","bifunctional UDP-N-acetylglucosamine pyrophosphorylase / Glucosamine-1-phosphate N-acetyltransferase [EC:2.7.7.23 2.3.1.157]"
"K04043","molecular chaperone DnaK"
"K04077","chaperonin GroEL"
"K04487","cysteine desulfurase [EC:2.8.1.7]"
"K04517","prephenate dehydrogenase [EC:1.3.1.12]"
"K04564","superoxide dismutase, Fe-Mn family [EC:1.15.1.1]"
"K04567","lysyl-tRNA synthetase, class II [EC:6.1.1.6]"
"K04761","LysR family transcriptional regulator, hydrogen peroxide-inducible genes activator"
"K04771","serine protease Do [EC:3.4.21.107]"
"K05349","beta-glucosidase [EC:3.2.1.21]"
"K05366","penicillin-binding protein 1A [EC:2.4.1.129 3.4.16.4]"
"K05515","penicillin-binding protein 2 [EC:3.4.16.4]"
"K05601","hydroxylamine reductase [EC:1.7.99.1]"
"K05810","polyphenol oxidase [EC:1.10.3.-]"
"K05845","osmoprotectant transport system substrate-binding protein"
"K05846","osmoprotectant transport system permease protein"
"K06041","arabinose-5-phosphate isomerase [EC:5.3.1.13]"
"K06131","cardiolipin synthase A/B [EC:2.7.8.-]"
"K06153","undecaprenyl-diphosphatase [EC:3.6.1.27]"
"K06287","septum formation protein"
"K06861","lipopolysaccharide export system ATP-binding protein [EC:3.6.3.-]"
"K06881","bifunctional oligoribonuclease and PAP phosphatase NrnA [EC:3.1.3.7 3.1.13.3]"
"K06949","ribosome biogenesis GTPase / thiamine phosphate phosphatase [EC:3.6.1.- 3.1.3.100]"
"K06966","pyrimidine/purine-5-nucleotide nucleosidase [EC:3.2.2.10 3.2.2.-]"
"K07007","uncharacterized protein"
"K07029","diacylglycerol kinase (ATP) [EC:2.7.1.107]"
"K07173","S-ribosylhomocysteine lyase [EC:4.4.1.21]"
"K07258","serine-type D-Ala-D-Ala carboxypeptidase (penicillin-binding protein 5/6) [EC:3.4.16.4]"
"K07271","lipopolysaccharide cholinephosphotransferase [EC:2.7.8.-]"
"K07636","two-component system, OmpR family, phosphate regulon sensor histidine kinase PhoR [EC:2.7.13.3]"
"K07642","two-component system, OmpR family, sensor histidine kinase BaeS [EC:2.7.13.3]"
"K07652","two-component system, OmpR family, sensor histidine kinase VicK [EC:2.7.13.3]"
"K07658","two-component system, OmpR family, alkaline phosphatase synthesis response regulator PhoP"
"K07665","two-component system, OmpR family, copper resistance phosphate regulon response regulator CusR"
"K07668","two-component system, OmpR family, response regulator VicR"
"K07669","two-component system, OmpR family, response regulator MprA"
"K07675","two-component system, NarL family, sensor histidine kinase UhpB [EC:2.7.13.3]"
"K07684","two-component system, NarL family, nitrate/nitrite response regulator NarL"
"K07692","two-component system, NarL family, response regulator DegU"
"K07693","two-component system, NarL family, response regulator DesR"
"K07696","two-component system, NarL family, response regulator NreC"
"K07720","two-component system, response regulator YesN"
"K07775","two-component system, OmpR family, response regulator ResD"
"K07776","two-component system, OmpR family, response regulator RegX3"
"K07778","two-component system, NarL family, sensor histidine kinase DesK [EC:2.7.13.3]"
"K08218","MFS transporter, PAT family, beta-lactamase induction signal transducer AmpG"
"K08303","putative protease [EC:3.4.-.-]"
"K08483","phosphotransferase system, enzyme I, PtsI [EC:2.7.3.9]"
"K09458","3-oxoacyl-[acyl-carrier-protein] synthase II [EC:2.3.1.179]"
"K09808","lipoprotein-releasing system permease protein"
"K09809","CDP-glycerol glycerophosphotransferase [EC:2.7.8.12]"
"K09810","lipoprotein-releasing system ATP-binding protein [EC:3.6.3.-]"
"K09811","cell division transport system permease protein"
"K09812","cell division transport system ATP-binding protein"
"K09815","zinc transport system substrate-binding protein"
"K09816","zinc transport system permease protein"
"K09817","zinc transport system ATP-binding protein [EC:3.6.3.-]"
"K09903","uridylate kinase [EC:2.7.4.22]"
"K10439","ribose transport system substrate-binding protein"
"K10823","oligopeptide transport system ATP-binding protein"
"K11085","ATP-binding cassette, subfamily B, bacterial MsbA [EC:3.6.3.-]"
"K11175","phosphoribosylglycinamide formyltransferase 1 [EC:2.1.2.2]"
"K11618","two-component system, NarL family, response regulator LiaR"
"K11717","cysteine desulfurase / selenocysteine lyase [EC:2.8.1.7 4.4.1.16]"
"K11720","lipopolysaccharide export system permease protein"
"K11751","5-nucleotidase / UDP-sugar diphosphatase [EC:3.1.3.5 3.6.1.45]"
