"K00001" "alcohol dehydrogenase [EC:1.1.1.1]"
"K00087" "xanthine dehydrogenase molybdenum-binding subunit [EC:1.17.1.4]"
"K00088" "IMP dehydrogenase [EC:1.1.1.205]"
"K00090" "glyoxylate/hydroxypyruvate/2-ketogluconate reductase [EC:1.1.1.79 1.1.1.81 1.1.1.215]"
"K00091" "dihydroflavonol-4-reductase [EC:1.1.1.219]"
"K00093" "methanol dehydrogenase [EC:1.1.1.244]"
"K00094" "galactitol-1-phosphate 5-dehydrogenase [EC:1.1.1.251]"
"K00096" "glycerol-1-phosphate dehydrogenase [NAD(P)+] [EC:1.1.1.261]"
"K00097" "4-hydroxythreonine-4-phosphate dehydrogenase [EC:1.1.1.262]"
"K00098" "L-idonate 5-dehydrogenase [EC:1.1.1.264]"
"K00099" "1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC:1.1.1.267]"
"K00100" "butanol dehydrogenase [EC:1.1.1.-]"
"K00101" "L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3]"
"K00102" "D-lactate dehydrogenase (cytochrome) [EC:1.1.2.4]"
"K00103" "L-gulonolactone oxidase [EC:1.1.3.8]"
"K00104" "glycolate oxidase [EC:1.1.3.15]"
"K00105" "alpha-glycerophosphate oxidase [EC:1.1.3.21]"
"K00106" "xanthine dehydrogenase/oxidase [EC:1.17.1.4 1.17.3.2]"
"K00108" "choline dehydrogenase [EC:1.1.99.1]"
"K00109" "2-hydroxyglutarate dehydrogenase [EC:1.1.99.2]"
"K00111" "glycerol-3-phosphate dehydrogenase [EC:1.1.5.3]"
"K00112" "glycerol-3-phosphate dehydrogenase subunit B [EC:1.1.5.3]"
"K00113" "glycerol-3-phosphate dehydrogenase subunit C [EC:1.1.5.3]"
"K00114" "alcohol dehydrogenase (cytochrome c) [EC:1.1.2.8]"
"K00116" "malate dehydrogenase (quinone) [EC:1.1.5.4]"
"K00117" "quinoprotein glucose dehydrogenase [EC:1.1.5.2]"
"K00118" "glucose-fructose oxidoreductase [EC:1.1.99.28]"
"K00121" "S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]"
"K00122" "formate dehydrogenase [EC:1.17.1.9]"
"K00123" "formate dehydrogenase major subunit [EC:1.17.1.9]"
"K00124" "formate dehydrogenase iron-sulfur subunit"
"K00125" "formate dehydrogenase (coenzyme F420) beta subunit [EC:1.17.98.3 1.8.98.6]"
"K00126" "formate dehydrogenase subunit delta [EC:1.17.1.9]"
"K00127" "formate dehydrogenase subunit gamma"
"K00128" "aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]"
"K00129" "aldehyde dehydrogenase (NAD(P)+) [EC:1.2.1.5]"
"K00130" "betaine-aldehyde dehydrogenase [EC:1.2.1.8]"
"K00131" "glyceraldehyde-3-phosphate dehydrogenase (NADP+) [EC:1.2.1.9]"
"K00132" "acetaldehyde dehydrogenase (acetylating) [EC:1.2.1.10]"
"K00133" "aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]"
"K00134" "glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]"
"K00135" "succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]"
"K00137" "aminobutyraldehyde dehydrogenase [EC:1.2.1.19]"
"K00138" "aldehyde dehydrogenase [EC:1.2.1.-]"
"K00140" "malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase [EC:1.2.1.18 1.2.1.27]"
"K00141" "benzaldehyde dehydrogenase (NAD) [EC:1.2.1.28]"
"K00145" "N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38]"
"K00146" "phenylacetaldehyde dehydrogenase [EC:1.2.1.39]"
"K00147" "glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]"
"K00148" "glutathione-independent formaldehyde dehydrogenase [EC:1.2.1.46]"
"K00150" "glyceraldehyde-3-phosphate dehydrogenase (NAD(P)) [EC:1.2.1.59]"
"K00151" "5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase [EC:1.2.1.60]"
"K00152" "salicylaldehyde dehydrogenase [EC:1.2.1.65]"
"K00153" "S-(hydroxymethyl)mycothiol dehydrogenase [EC:1.1.1.306]"
"K00154" "coniferyl-aldehyde dehydrogenase [EC:1.2.1.68]"
"K00156" "pyruvate dehydrogenase (quinone) [EC:1.2.5.1]"
"K00158" "pyruvate oxidase [EC:1.2.3.3]"
"K00161" "pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1]"
"K00162" "pyruvate dehydrogenase E1 component beta subunit [EC:1.2.4.1]"
"K00163" "pyruvate dehydrogenase E1 component [EC:1.2.4.1]"
"K00164" "2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]"
"K00166" "2-oxoisovalerate dehydrogenase E1 component alpha subunit [EC:1.2.4.4]"
"K00167" "2-oxoisovalerate dehydrogenase E1 component beta subunit [EC:1.2.4.4]"
"K00169" "pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1]"
"K00170" "pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1]"
"K00171" "pyruvate ferredoxin oxidoreductase delta subunit [EC:1.2.7.1]"
"K00172" "pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.1]"
"K00174" "2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11]"
"K00175" "2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11]"
"K00176" "2-oxoglutarate ferredoxin oxidoreductase subunit delta [EC:1.2.7.3]"
"K00177" "2-oxoglutarate ferredoxin oxidoreductase subunit gamma [EC:1.2.7.3]"
"K00179" "indolepyruvate ferredoxin oxidoreductase, alpha subunit [EC:1.2.7.8]"
"K00180" "indolepyruvate ferredoxin oxidoreductase, beta subunit [EC:1.2.7.8]"
"K00183" "prokaryotic molybdopterin-containing oxidoreductase family, molybdopterin binding subunit"
"K00184" "prokaryotic molybdopterin-containing oxidoreductase family, iron-sulfur binding subunit"
"K00185" "prokaryotic molybdopterin-containing oxidoreductase family, membrane subunit"
"K00186" "2-oxoisovalerate ferredoxin oxidoreductase, alpha subunit [EC:1.2.7.7]"
"K00187" "2-oxoisovalerate ferredoxin oxidoreductase, beta subunit [EC:1.2.7.7]"
"K00188" "2-oxoisovalerate ferredoxin oxidoreductase, delta subunit [EC:1.2.7.7]"
"K00193" "acetyl-CoA decarbonylase/synthase complex subunit beta [EC:2.3.1.-]"
"K00194" "acetyl-CoA decarbonylase/synthase complex subunit delta [EC:2.1.1.245]"
"K00196" "anaerobic carbon-monoxide dehydrogenase iron sulfur subunit"
"K00197" "acetyl-CoA decarbonylase/synthase complex subunit gamma [EC:2.1.1.245]"
"K00198" "anaerobic carbon-monoxide dehydrogenase catalytic subunit [EC:1.2.7.4]"
"K00200" "formylmethanofuran dehydrogenase subunit A [EC:1.2.7.12]"
"K00201" "formylmethanofuran dehydrogenase subunit B [EC:1.2.7.12]"
"K00202" "formylmethanofuran dehydrogenase subunit C [EC:1.2.7.12]"
"K00205" "4Fe-4S ferredoxin"
"K00208" "enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10]"
"K00209" "enoyl-[acyl-carrier protein] reductase / trans-2-enoyl-CoA reductase (NAD+) [EC:1.3.1.9 1.3.1.44]"
"K00210" "prephenate dehydrogenase [EC:1.3.1.12]"
"K00211" "prephenate dehydrogenase (NADP+) [EC:1.3.1.13]"
"K00214" "biliverdin reductase [EC:1.3.1.24]"
"K00215" "4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8]"
"K00216" "2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase [EC:1.3.1.28]"
"K00217" "maleylacetate reductase [EC:1.3.1.32]"
"K00218" "protochlorophyllide reductase [EC:1.3.1.33]"
"K00219" "2,4-dienoyl-CoA reductase (NADPH2) [EC:1.3.1.34]"
"K00220" "cyclohexadieny/prephenate dehydrogenase [EC:1.3.1.43 1.3.1.12]"
"K00221" "alkylmercury lyase [EC:4.99.1.2]"
"K00226" "dihydroorotate dehydrogenase (fumarate) [EC:1.3.98.1]"
"K00227" "Delta7-sterol 5-desaturase [EC:1.14.19.20]"
"K00228" "coproporphyrinogen III oxidase [EC:1.3.3.3]"
"K00230" "menaquinone-dependent protoporphyrinogen oxidase [EC:1.3.5.3]"
"K00231" "protoporphyrinogen/coproporphyrinogen III oxidase [EC:1.3.3.4 1.3.3.15]"
"K00232" "acyl-CoA oxidase [EC:1.3.3.6]"
"K00239" "succinate dehydrogenase / fumarate reductase, flavoprotein subunit [EC:1.3.5.1 1.3.5.4]"
"K00240" "succinate dehydrogenase / fumarate reductase, iron-sulfur subunit [EC:1.3.5.1 1.3.5.4]"
"K00241" "succinate dehydrogenase / fumarate reductase, cytochrome b subunit"
"K00242" "succinate dehydrogenase / fumarate reductase, membrane anchor subunit"
"K00243" "uncharacterized protein"
"K00244" "fumarate reductase flavoprotein subunit [EC:1.3.5.4]"
"K00245" "fumarate reductase iron-sulfur subunit [EC:1.3.5.4]"
"K00246" "fumarate reductase subunit C"
"K00247" "fumarate reductase subunit D"
"K00248" "butyryl-CoA dehydrogenase [EC:1.3.8.1]"
"K00249" "acyl-CoA dehydrogenase [EC:1.3.8.7]"
"K00252" "glutaryl-CoA dehydrogenase [EC:1.3.8.6]"
"K00253" "isovaleryl-CoA dehydrogenase [EC:1.3.8.4]"
"K00254" "dihydroorotate dehydrogenase [EC:1.3.5.2]"
"K00255" "long-chain-acyl-CoA dehydrogenase [EC:1.3.8.8]"
"K00256" "isoquinoline 1-oxidoreductase [EC:1.3.99.16]"
"K00257" "acyl-ACP dehydrogenase [EC:1.3.99.-]"
"K00259" "alanine dehydrogenase [EC:1.4.1.1]"
"K00260" "glutamate dehydrogenase [EC:1.4.1.2]"
"K00261" "glutamate dehydrogenase (NAD(P)+) [EC:1.4.1.3]"
"K00262" "glutamate dehydrogenase (NADP+) [EC:1.4.1.4]"
"K00263" "leucine dehydrogenase [EC:1.4.1.9]"
"K00265" "glutamate synthase (NADPH/NADH) large chain [EC:1.4.1.13 1.4.1.14]"
"K00266" "glutamate synthase (NADPH/NADH) small chain [EC:1.4.1.13 1.4.1.14]"
"K00270" "phenylalanine dehydrogenase [EC:1.4.1.20]"
"K00271" "valine dehydrogenase (NAD+) [EC:1.4.1.23]"
"K00273" "D-amino-acid oxidase [EC:1.4.3.3]"
"K00274" "monoamine oxidase [EC:1.4.3.4]"
"K00275" "pyridoxamine 5-phosphate oxidase [EC:1.4.3.5]"
"K00276" "primary-amine oxidase [EC:1.4.3.21]"
"K00278" "L-aspartate oxidase [EC:1.4.3.16]"
"K00281" "glycine dehydrogenase [EC:1.4.4.2]"
"K00282" "glycine dehydrogenase subunit 1 [EC:1.4.4.2]"
"K00283" "glycine dehydrogenase subunit 2 [EC:1.4.4.2]"
"K00284" "glutamate synthase (ferredoxin) [EC:1.4.7.1]"
"K00285" "D-amino-acid dehydrogenase [EC:1.4.5.1]"
"K00286" "pyrroline-5-carboxylate reductase [EC:1.5.1.2]"
"K00287" "dihydrofolate reductase [EC:1.5.1.3]"
"K00290" "saccharopine dehydrogenase (NAD+, L-lysine forming) [EC:1.5.1.7]"
"K00293" "saccharopine dehydrogenase (NADP+, L-glutamate forming) [EC:1.5.1.10]"
"K00294" "1-pyrroline-5-carboxylate dehydrogenase [EC:1.2.1.88]"
"K00296" "D-nopaline dehydrogenase [EC:1.5.1.19]"
"K00297" "methylenetetrahydrofolate reductase (NADPH) [EC:1.5.1.20]"
"K00298" "N5-(carboxyethyl)ornithine synthase [EC:1.5.1.24]"
"K00299" "FMN reductase [EC:1.5.1.38]"
"K00301" "sarcosine oxidase [EC:1.5.3.1]"
"K00302" "sarcosine oxidase, subunit alpha [EC:1.5.3.1]"
"K00303" "sarcosine oxidase, subunit beta [EC:1.5.3.1]"
"K00304" "sarcosine oxidase, subunit delta [EC:1.5.3.1]"
"K00305" "sarcosine oxidase, subunit gamma [EC:1.5.3.1]"
"K00311" "electron-transferring-flavoprotein dehydrogenase [EC:1.5.5.1]"
"K00313" "electron transfer flavoprotein-quinone oxidoreductase [EC:1.5.5.-]"
"K00314" "sarcosine dehydrogenase [EC:1.5.8.3]"
"K00315" "dimethylglycine dehydrogenase [EC:1.5.8.4]"
"K00316" "spermidine dehydrogenase [EC:1.5.99.6]"
"K00317" "dimethylamine/trimethylamine dehydrogenase [EC:1.5.8.1 1.5.8.2]"
"K00318" "proline dehydrogenase [EC:1.5.-.-]"
"K00320" "5,10-methylenetetrahydromethanopterin reductase [EC:1.5.98.2]"
"K00322" "NAD(P) transhydrogenase [EC:1.6.1.1]"
"K00324" "NAD(P) transhydrogenase subunit alpha [EC:1.6.1.2]"
"K00325" "NAD(P) transhydrogenase subunit beta [EC:1.6.1.2]"
"K00329" "NADH dehydrogenase [EC:1.6.5.3]"
"K00330" "NADH-quinone oxidoreductase subunit A [EC:1.6.5.3]"
"K00331" "NADH-quinone oxidoreductase subunit B [EC:1.6.5.3]"
"K00332" "NADH-quinone oxidoreductase subunit C [EC:1.6.5.3]"
"K00333" "NADH-quinone oxidoreductase subunit D [EC:1.6.5.3]"
"K00334" "NADH-quinone oxidoreductase subunit E [EC:1.6.5.3]"
"K00335" "NADH-quinone oxidoreductase subunit F [EC:1.6.5.3]"
"K00336" "NADH-quinone oxidoreductase subunit G [EC:1.6.5.3]"
"K00337" "NADH-quinone oxidoreductase subunit H [EC:1.6.5.3]"
"K00338" "NADH-quinone oxidoreductase subunit I [EC:1.6.5.3]"
"K00339" "NADH-quinone oxidoreductase subunit J [EC:1.6.5.3]"
"K00340" "NADH-quinone oxidoreductase subunit K [EC:1.6.5.3]"
"K00341" "NADH-quinone oxidoreductase subunit L [EC:1.6.5.3]"
"K00342" "NADH-quinone oxidoreductase subunit M [EC:1.6.5.3]"
"K00343" "NADH-quinone oxidoreductase subunit N [EC:1.6.5.3]"
"K00344" "NADPH2:quinone reductase [EC:1.6.5.5]"
"K00346" "Na+-transporting NADH:ubiquinone oxidoreductase subunit A [EC:1.6.5.8]"
"K00347" "Na+-transporting NADH:ubiquinone oxidoreductase subunit B [EC:1.6.5.8]"
"K00348" "Na+-transporting NADH:ubiquinone oxidoreductase subunit C [EC:1.6.5.8]"
"K00349" "Na+-transporting NADH:ubiquinone oxidoreductase subunit D [EC:1.6.5.8]"
"K00350" "Na+-transporting NADH:ubiquinone oxidoreductase subunit E [EC:1.6.5.8]"
"K00351" "Na+-transporting NADH:ubiquinone oxidoreductase subunit F [EC:1.6.5.8]"
"K00354" "NADPH2 dehydrogenase [EC:1.6.99.1]"
"K00355" "NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2]"
"K00356" "NADH dehydrogenase [EC:1.6.99.3]"
"K00360" "assimilatory nitrate reductase electron transfer subunit [EC:1.7.99.-]"
"K00362" "nitrite reductase (NADH) large subunit [EC:1.7.1.15]"
"K00363" "nitrite reductase (NADH) small subunit [EC:1.7.1.15]"
"K00364" "GMP reductase [EC:1.7.1.7]"
"K00365" "urate oxidase [EC:1.7.3.3]"
"K00366" "ferredoxin-nitrite reductase [EC:1.7.7.1]"
"K00367" "ferredoxin-nitrate reductase [EC:1.7.7.2]"
"K00368" "nitrite reductase (NO-forming) [EC:1.7.2.1]"
"K00370" "nitrate reductase / nitrite oxidoreductase, alpha subunit [EC:1.7.5.1 1.7.99.-]"
"K00371" "nitrate reductase / nitrite oxidoreductase, beta subunit [EC:1.7.5.1 1.7.99.-]"
"K00372" "assimilatory nitrate reductase catalytic subunit [EC:1.7.99.-]"
"K00373" "nitrate reductase molybdenum cofactor assembly chaperone NarJ/NarW"
"K00374" "nitrate reductase gamma subunit [EC:1.7.5.1 1.7.99.-]"
"K00375" "GntR family transcriptional regulator / MocR family aminotransferase"
"K00376" "nitrous-oxide reductase [EC:1.7.2.4]"
"K00380" "sulfite reductase (NADPH) flavoprotein alpha-component [EC:1.8.1.2]"
"K00381" "sulfite reductase (NADPH) hemoprotein beta-component [EC:1.8.1.2]"
"K00382" "dihydrolipoamide dehydrogenase [EC:1.8.1.4]"
"K00383" "glutathione reductase (NADPH) [EC:1.8.1.7]"
"K00384" "thioredoxin reductase (NADPH) [EC:1.8.1.9]"
"K00385" "anaerobic sulfite reductase subunit C"
"K00387" "sulfite oxidase [EC:1.8.3.1]"
"K00389" "putative membrane protein"
"K00390" "phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]"
"K00392" "sulfite reductase (ferredoxin) [EC:1.8.7.1]"
"K00394" "adenylylsulfate reductase, subunit A [EC:1.8.99.2]"
"K00395" "adenylylsulfate reductase, subunit B [EC:1.8.99.2]"
"K00400" "methyl coenzyme M reductase system, component A2"
"K00404" "cytochrome c oxidase cbb3-type subunit I [EC:1.9.3.1]"
"K00405" "cytochrome c oxidase cbb3-type subunit II"
"K00406" "cytochrome c oxidase cbb3-type subunit III"
"K00407" "cytochrome c oxidase cbb3-type subunit IV"
"K00410" "ubiquinol-cytochrome c reductase cytochrome b/c1 subunit"
"K00411" "ubiquinol-cytochrome c reductase iron-sulfur subunit [EC:1.10.2.2]"
"K00412" "ubiquinol-cytochrome c reductase cytochrome b subunit"
"K00413" "ubiquinol-cytochrome c reductase cytochrome c1 subunit"
"K00422" "polyphenol oxidase [EC:1.10.3.1]"
"K00423" "L-ascorbate oxidase [EC:1.10.3.3]"
"K00424" "cytochrome bd-I ubiquinol oxidase subunit X [EC:1.10.3.14]"
"K00425" "cytochrome bd ubiquinol oxidase subunit I [EC:1.10.3.14]"
"K00426" "cytochrome bd ubiquinol oxidase subunit II [EC:1.10.3.14]"
"K00427" "L-lactate permease"
"K00428" "cytochrome c peroxidase [EC:1.11.1.5]"
"K00432" "glutathione peroxidase [EC:1.11.1.9]"
"K00433" "non-heme chloroperoxidase [EC:1.11.1.10]"
"K00435" "Fe-coproporphyrin III decarboxylase [EC:1.11.1.-]"
"K00436" "NAD-reducing hydrogenase large subunit [EC:1.12.1.2]"
"K00437" "[NiFe] hydrogenase large subunit [EC:1.12.2.1]"
"K00440" "coenzyme F420 hydrogenase subunit alpha [EC:1.12.98.1]"
"K00441" "coenzyme F420 hydrogenase subunit beta [EC:1.12.98.1]"
"K00446" "catechol 2,3-dioxygenase [EC:1.13.11.2]"
"K00448" "protocatechuate 3,4-dioxygenase, alpha subunit [EC:1.13.11.3]"
"K00449" "protocatechuate 3,4-dioxygenase, beta subunit [EC:1.13.11.3]"
"K00450" "gentisate 1,2-dioxygenase [EC:1.13.11.4]"
"K00451" "homogentisate 1,2-dioxygenase [EC:1.13.11.5]"
"K00452" "3-hydroxyanthranilate 3,4-dioxygenase [EC:1.13.11.6]"
"K00453" "tryptophan 2,3-dioxygenase [EC:1.13.11.11]"
"K00455" "3,4-dihydroxyphenylacetate 2,3-dioxygenase [EC:1.13.11.15]"
"K00456" "cysteine dioxygenase [EC:1.13.11.20]"
"K00457" "4-hydroxyphenylpyruvate dioxygenase [EC:1.13.11.27]"
"K00459" "nitronate monooxygenase [EC:1.13.12.16]"
"K00462" "biphenyl-2,3-diol 1,2-dioxygenase [EC:1.13.11.39]"
"K00463" "indoleamine 2,3-dioxygenase [EC:1.13.11.52]"
"K00464" "all-trans-8-apo-beta-carotenal 15,15-oxygenase [EC:1.13.11.75]"
"K00466" "tryptophan 2-monooxygenase [EC:1.13.12.3]"
"K00467" "lactate 2-monooxygenase [EC:1.13.12.4]"
"K00469" "inositol oxygenase [EC:1.13.99.1]"
"K00471" "gamma-butyrobetaine dioxygenase [EC:1.14.11.1]"
"K00472" "prolyl 4-hydroxylase [EC:1.14.11.2]"
"K00476" "aspartate beta-hydroxylase [EC:1.14.11.16]"
"K00477" "phytanoyl-CoA hydroxylase [EC:1.14.11.18]"
"K00479" "glycine betaine catabolism A"
"K00480" "salicylate hydroxylase [EC:1.14.13.1]"
"K00481" "p-hydroxybenzoate 3-monooxygenase [EC:1.14.13.2]"
"K00483" "4-hydroxyphenylacetate 3-monooxygenase [EC:1.14.14.9]"
"K00484" "flavin reductase (NADH) [EC:1.5.1.36]"
"K00485" "dimethylaniline monooxygenase (N-oxide forming) [EC:1.14.13.8]"
"K00486" "kynurenine 3-monooxygenase [EC:1.14.13.9]"
"K00491" "nitric-oxide synthase, bacterial [EC:1.14.14.47]"
"K00493" "unspecific monooxygenase [EC:1.14.14.1]"
"K00494" "alkanal monooxygenase alpha chain [EC:1.14.14.3]"
"K00496" "alkane 1-monooxygenase [EC:1.14.15.3]"
"K00499" "choline monooxygenase [EC:1.14.15.7]"
"K00500" "phenylalanine-4-hydroxylase [EC:1.14.16.1]"
"K00504" "peptidylglycine monooxygenase [EC:1.14.17.3]"
"K00505" "tyrosinase [EC:1.14.18.1]"
"K00507" "stearoyl-CoA desaturase (Delta-9 desaturase) [EC:1.14.19.1]"
"K00508" "linoleoyl-CoA desaturase [EC:1.14.19.3]"
"K00514" "zeta-carotene desaturase [EC:1.3.5.6]"
"K00518" "nickel superoxide dismutase [EC:1.15.1.1]"
"K00520" "mercuric reductase [EC:1.16.1.1]"
"K00523" "CDP-4-dehydro-6-deoxyglucose reductase, E3 [EC:1.17.1.1]"
"K00525" "ribonucleoside-diphosphate reductase alpha chain [EC:1.17.4.1]"
"K00526" "ribonucleoside-diphosphate reductase beta chain [EC:1.17.4.1]"
"K00527" "ribonucleoside-triphosphate reductase (thioredoxin) [EC:1.17.4.2]"
"K00528" "ferredoxin/flavodoxin---NADP+ reductase [EC:1.18.1.2 1.19.1.1]"
"K00529" "3-phenylpropionate/trans-cinnamate dioxygenase ferredoxin reductase component [EC:1.18.1.3]"
"K00531" "nitrogenase delta subunit [EC:1.18.6.1]"
"K00532" "ferredoxin hydrogenase [EC:1.12.7.2]"
"K00533" "ferredoxin hydrogenase large subunit [EC:1.12.7.2]"
"K00534" "ferredoxin hydrogenase small subunit [EC:1.12.7.2]"
"K00537" "arsenate reductase [EC:1.20.4.1]"
"K00544" "betaine-homocysteine S-methyltransferase [EC:2.1.1.5]"
"K00545" "catechol O-methyltransferase [EC:2.1.1.6]"
"K00547" "homocysteine S-methyltransferase [EC:2.1.1.10]"
"K00548" "5-methyltetrahydrofolate--homocysteine methyltransferase [EC:2.1.1.13]"
"K00549" "5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase [EC:2.1.1.14]"
"K00554" "tRNA (guanine37-N1)-methyltransferase [EC:2.1.1.228]"
"K00556" "tRNA (guanosine-2-O-)-methyltransferase [EC:2.1.1.34]"
"K00557" "tRNA (uracil-5-)-methyltransferase [EC:2.1.1.35]"
"K00558" "DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"
"K00559" "sterol 24-C-methyltransferase [EC:2.1.1.41]"
"K00560" "thymidylate synthase [EC:2.1.1.45]"
"K00561" "23S rRNA (adenine-N6)-dimethyltransferase [EC:2.1.1.184]"
"K00563" "23S rRNA (guanine745-N1)-methyltransferase [EC:2.1.1.187]"
"K00564" "16S rRNA (guanine1207-N2)-methyltransferase [EC:2.1.1.172]"
